"","Gruppe","Bewertet","Geraten_Exemplar","Geraten_Kurz","Belebtheit","Art","Groesse","Exemplar","Kurz","Spricht","Runde_Durchgang","Exemplar_Korrekt","Gruppe_Korrekt","Geraten_Belebtheit","Belebtheit_Korrekt","Geraten_Art","Art_Korrekt","Geraten_Groesse","Groesse_Korrekt"
"1","a","a2_w_26","Buerodrucker","UGG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","a1_m_31","01_01",1,1,"Unbelebt",1,"Geraet",1,"Gross",1
"2","a","a3_m_22","Industriebackofen","UGG","Unbelebt","Geraet","Gross","Buerodrucker","UGG","a1_m_31","01_01",0,1,"Unbelebt",1,"Geraet",1,"Gross",1
"3","b","b2_m_27","Drucker","UGK","Unbelebt","Fahrzeug","Gross","SUV","UFG","b1_w_20","01_01",0,0,"Unbelebt",1,"Geraet",0,"Klein",0
"4","b","b3_w_20","Anakonda","BRG","Unbelebt","Fahrzeug","Gross","SUV","UFG","b1_w_20","01_01",0,0,"Belebt",0,"Reptil",0,"Gross",1
"5","c","c2_w_20","Kondor","BVG","Belebt","Saeugetier","Gross","Baer","BSG","c1_w_41","01_01",0,0,"Belebt",1,"Vogel",0,"Gross",1
"6","c","c3_w_31","Baer","BSG","Belebt","Saeugetier","Gross","Baer","BSG","c1_w_41","01_01",1,1,"Belebt",1,"Saeugetier",1,"Gross",1
"7","d","d2_w_32","Schildkroete","BRK","Unbelebt","Instrument","Gross","Kirchenglocke","UIG","d1_w_24","01_01",0,0,"Belebt",0,"Reptil",0,"Klein",0
"8","d","d3_w_24","Bodentrommel","UIG","Unbelebt","Instrument","Gross","Kirchenglocke","UIG","d1_w_24","01_01",0,1,"Unbelebt",1,"Instrument",1,"Gross",1
"9","e","e2_w_25","Schildkroete","BRK","Belebt","Reptil","Klein","Schildkroete","BRK","e1_w_24","01_01",1,1,"Belebt",1,"Reptil",1,"Klein",1
"10","e","e3_w_22","Elefant","BSG","Belebt","Reptil","Klein","Schildkroete","BRK","e1_w_24","01_01",0,0,"Belebt",1,"Saeugetier",0,"Gross",0
"11","f","f2_m_38","Blindschleiche","BRK","Unbelebt","Fahrzeug","Gross","SUV","UFG","f1_w_20","01_01",0,0,"Belebt",0,"Reptil",0,"Klein",0
