participant,age,gender,gender_other,country,condor,harpyie,stork,finch,tit,sparrow,cow,elephant,bear,monkey,hedgehog,bunny,crocodile,comododragon,anaconda,gecko,grasssnake,tortoise,doublebass,bigdrum,bigbell,violin,smalldrum,smallbell,wallclock,industrialoven,industrialprinter,watch,oven,printer,SUV,jumbojet,bigexcavator,car,plane,smallexcavator,heron,horse,frog,washingmachine,toaster,boat,COUNTRY,CLIENT_start,TIME_start,TIME_end,TIME_total
s.08a2e78d-bfc8-4dab-8e3a-f8095ae000ab.txt,52,1,"","France, India, England",5,6,2,6,3,6,5,6,5,6,6,7,6,5,6,6,5,7,4,6,4,4,6,6,3,7,6,6,7,6,6,3,4,5,4,3,5,5,5,6,7,6,"",2025-04-22-16-40,2025-05-22-14-40,2025-05-22-14-43,3
s.0d5d7f33-743e-4de4-b2fb-2eebb691cd35.txt,31,1,"",Deutschland ,6,6,7,7,7,6,5,7,3,5,6,7,4,7,5,7,7,6,5,5,7,5,6,5,6,4,6,5,6,6,3,4,5,3,4,7,6,6,7,7,6,4,"",2025-04-29-11-18,2025-05-29-08-18,2025-05-29-08-23,5
s.2e2d18e3-3f47-4129-aaa2-9716c55b191d.txt,62,1,"",Germany,5,4,6,7,6,5,7,6,5,6,5,7,5,6,4,6,5,7,6,5,6,5,7,6,4,5,5,5,6,5,4,5,5,5,6,5,5,6,6,5,6,6,"",2025-05-02-19-18,2025-06-02-17-18,2025-06-02-17-27,9
s.4653a367-2aa9-4a66-8118-77d4048a378e.txt,28,1,"",Germany,5,6,4,4,6,5,4,6,5,7,7,6,4,5,3,7,6,6,3,3,4,2,2,3,2,3,3,2,4,4,2,3,3,2,2,2,5,5,6,3,3,3,"",2025-04-29-09-45,2025-05-29-07-45,2025-05-29-07-51,6
s.4e52ad83-483b-4835-9205-ea378e0b4d34.txt,31,2,"",Germany,4,5,6,7,7,6,6,6,7,7,7,7,6,6,7,6,7,7,5,2,4,4,7,6,7,5,5,5,5,7,5,6,5,3,7,6,6,5,7,6,6,6,"",2025-04-27-14-38,2025-05-27-12-38,2025-05-27-12-43,5
s.55541185-8007-4fda-9bb7-0c7d9a1006a7.txt,48,2,"",Deutschland,7,5,5,4,7,7,5,7,5,7,7,5,5,7,5,6,6,7,3,3,5,3,2,5,2,4,3,3,3,4,2,6,5,3,5,6,6,3,4,4,5,5,"",2025-06-01-21-46,2025-07-01-19-46,2025-07-01-19-54,8
s.58732dd3-6d56-4822-965f-87bfb663e900.txt,39,2,"",Germany,4,4,4,5,4,4,3,3,4,2,2,4,3,3,3,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,"",2025-05-30-13-36,2025-06-30-11-36,2025-06-30-11-40,4
s.59efc6fa-6079-4a92-9822-4fb9bebf9be2.txt,26,2,"",Germany ,5,6,6,5,5,7,7,7,7,6,7,7,7,6,7,7,7,7,5,5,6,5,5,5,5,5,6,5,5,5,6,6,6,5,6,6,6,6,7,4,5,7,"",2025-04-29-14-54,2025-05-29-12-54,2025-05-29-12-59,5
s.5c577708-bc6d-483b-9621-030b675940e3.txt,27,2,"",Deutschland ,4,4,5,6,5,5,4,6,5,7,7,7,6,4,4,5,4,6,1,2,2,2,1,4,2,1,2,1,2,2,1,3,1,1,5,3,3,5,4,2,3,1,"",2025-04-29-10-31,2025-05-29-08-31,2025-05-29-08-38,7
s.81cc8173-e929-4c52-bf03-0a7bd5f82d82.txt,31,2,"",Germany,7,5,5,7,7,6,4,5,5,4,6,5,5,5,4,4,6,1,2,2,2,2,2,1,2,1,1,2,2,3,5,3,1,3,3,1,6,4,5,3,3,3,"DE, Germany",2025-12-14-09-03,2025-12-14-09-03,2025-12-14-09-06,3
s.84e973de-f0e4-4714-b58d-dbf41e4d2850.txt,75,2,"","",1,3,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-04-22-13-19,2025-05-22-11-19,2025-05-22-11-20,1
s.86a283e2-fbd7-41eb-939e-f891b804ada0.txt,28,2,"",Germany,3,2,6,5,6,5,4,6,4,6,7,7,5,6,5,5,3,7,2,1,1,2,3,5,5,1,2,3,1,2,4,2,1,1,4,3,2,3,5,1,3,2,"",2025-04-29-10-22,2025-05-29-08-22,2025-05-29-08-25,3
s.87baa57d-4afe-4d8c-8bf5-2ed0af1a0ae8.txt,66,2,"",Germany,2,3,5,1,3,5,6,4,5,6,5,6,3,2,2,2,2,4,4,2,2,4,3,3,3,4,3,4,3,3,3,5,3,3,3,3,2,4,4,4,3,2,"",2025-05-03-16-07,2025-06-03-14-07,2025-06-03-14-13,6
s.8a62faed-8dc6-4d9c-b498-fd97c7ead8de.txt,35,1,"",France,5,4,4,5,4,5,4,7,4,7,7,6,5,4,2,5,3,6,2,2,1,2,2,1,1,1,2,1,5,1,1,3,1,1,1,2,3,2,5,1,2,3,"",2025-04-29-10-27,2025-05-29-08-27,2025-05-29-08-32,5
s.acc96867-3c3a-494c-838a-bcba985e41a1.txt,35,1,"",Germany,4,6,4,5,5,6,4,7,5,6,6,6,6,6,4,7,6,7,4,5,5,3,3,4,4,5,3,2,5,3,3,6,3,4,3,4,4,5,5,3,6,3,"",2025-05-29-15-21,2025-06-29-13-21,2025-06-29-13-25,4
s.b1315da2-0d85-4fdc-8ae4-ba4ae8e7a23c.txt,33,2,"",Germany ,4,3,3,4,5,3,2,5,2,1,4,4,1,2,2,2,6,4,1,2,2,4,2,3,4,4,3,4,3,5,1,2,2,1,1,5,2,1,5,2,6,1,"",2025-04-29-20-47,2025-05-29-17-47,2025-05-29-17-54,7
s.c141a7da-caa4-4995-947f-b2be897cbf90.txt,87,1,"",Albania,5,5,4,1,6,2,6,1,6,6,6,7,6,5,6,4,5,6,2,4,4,5,1,5,2,7,7,3,2,7,3,3,2,5,4,5,3,1,6,7,5,5,"",2025-04-22-14-06,2025-05-22-12-06,2025-05-22-12-09,3
s.c9b80651-1944-411f-a240-52203c63fe09.txt,25,1,"",Germany,5,6,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2025-04-22-13-35,2025-05-22-11-35,2025-05-22-11-37,2
