FileName	digit	Duration(ms)
a1_01_buerodrucker_m31	u:	94.425
a1_01_buerodrucker_m31	i:	85.542
a1_01_buerodrucker_m31	a:	69.427
a1_02_grosserbagger_m31	u:	50.890
a1_02_grosserbagger_m31	i:	54.139
a1_02_grosserbagger_m31	a:	92.036
a1_03_kuh_m31	u:	134.023
a1_03_kuh_m31	i:	135.226
a1_03_kuh_m31	a:	121.182
a1_04_bodentrommel_m31	u:	103.336
a1_04_bodentrommel_m31	i:	74.190
a1_04_bodentrommel_m31	a:	91.854
a1_05_blindschleiche_m31	u:	72.487
a1_05_blindschleiche_m31	i:	73.453
a1_05_blindschleiche_m31	a:	99.549
a1_06_kleinwagen_m31	u:	46.344
a1_06_kleinwagen_m31	i:	59.217
a1_06_kleinwagen_m31	a:	62.650
a1_07_aeffchen_m31	u:	85.341
a1_07_aeffchen_m31	i:	57.385
a1_07_aeffchen_m31	a:	69.646
a1_08_storch_m31	u:	96.941
a1_08_storch_m31	i:	48.470
a1_08_storch_m31	a:	125.742
a1_09_anakonda_m31	u:	95.997
a1_09_anakonda_m31	i:	72.810
a1_09_anakonda_m31	a:	105.748
a1_10_spatz_m31	u:	62.394
a1_10_spatz_m31	i:	38.934
a1_10_spatz_m31	a:	54.733
a1_11_violine_m31	u:	108.839
a1_11_violine_m31	i:	67.796
a1_11_violine_m31	a:	155.616
a1_12_backofen_m31	u:	96.293
a1_12_backofen_m31	i:	61.355
a1_12_backofen_m31	a:	152.536
a2_01_elefant_w26	u:	167.970
a2_01_elefant_w26	i:	100.736
a2_01_elefant_w26	a:	197.377
a2_02_dompfaff_w26	u:	150.589
a2_02_dompfaff_w26	i:	121.454
a2_02_dompfaff_w26	a:	118.950
a2_03_gecko_w26	u:	97.887
a2_03_gecko_w26	i:	54.519
a2_03_gecko_w26	a:	76.203
a2_04_kleinerbagger_w26	u:	156.582
a2_04_kleinerbagger_w26	i:	86.774
a2_04_kleinerbagger_w26	a:	106.650
a2_05_igel_w26	u:	57.087
a2_05_igel_w26	i:	71.470
a2_05_igel_w26	a:	84.176
a2_06_kondor_w26	u:	169.544
a2_06_kondor_w26	i:	146.365
a2_06_kondor_w26	a:	179.690
a2_07_armbanduhr_w26	u:	189.734
a2_07_armbanduhr_w26	i:	192.034
a2_07_armbanduhr_w26	a:	233.431
a2_08_handtrommel_w26	u:	232.417
a2_08_handtrommel_w26	i:	202.180
a2_08_handtrommel_w26	a:	247.309
a2_09_industriebackofen_w26	u:	405.284
a2_09_industriebackofen_w26	i:	538.768
a2_09_industriebackofen_w26	a:	472.684
a2_10_kirchenglocke_w26	u:	235.756
a2_10_kirchenglocke_w26	i:	399.442
a2_10_kirchenglocke_w26	a:	429.980
a2_11_jumbojet_w26	u:	449.408
a2_11_jumbojet_w26	i:	485.869
a2_11_jumbojet_w26	a:	493.243
a2_12_krokodil_w26	u:	139.673
a2_12_krokodil_w26	i:	112.464
a2_12_krokodil_w26	a:	141.487
a3_01_schildkroete_m22	u:	324.475
a3_01_schildkroete_m22	i:	366.614
a3_01_schildkroete_m22	a:	404.540
a3_02_SUV_m22	u:	230.257
a3_02_SUV_m22	i:	104.806
a3_02_SUV_m22	a:	167.532
a3_03_kaninchen_m22	u:	128.333
a3_03_kaninchen_m22	i:	90.176
a3_03_kaninchen_m22	a:	120.567
a3_04_blaumeise_m22	u:	157.078
a3_04_blaumeise_m22	i:	61.330
a3_04_blaumeise_m22	a:	112.548
a3_05_wanduhr_m22	u:	224.450
a3_05_wanduhr_m22	i:	230.753
a3_05_wanduhr_m22	a:	140.688
a3_06_kleinflugzeug_m22	u:	144.328
a3_06_kleinflugzeug_m22	i:	88.748
a3_06_kleinflugzeug_m22	a:	138.053
a3_07_gloeckchen_m22	u:	185.410
a3_07_gloeckchen_m22	i:	99.216
a3_07_gloeckchen_m22	a:	114.314
a3_08_drucker_m22	u:	191.626
a3_08_drucker_m22	i:	217.077
a3_08_drucker_m22	a:	188.383
a3_09_komodowaran_m22	u:	214.457
a3_09_komodowaran_m22	i:	122.064
a3_09_komodowaran_m22	a:	142.656
a3_11_baer_m22	u:	148.160
a3_11_baer_m22	i:	110.642
a3_11_baer_m22	a:	142.035
a3_12_kontrabass_m22	u:	361.312
a3_12_kontrabass_m22	i:	213.529
a3_12_kontrabass_m22	a:	253.794
b1_01_SUV_w20	u:	134.356
b1_01_SUV_w20	i:	62.044
b1_01_SUV_w20	a:	95.419
b1_02_anakonda_w20	u:	48.295
b1_02_anakonda_w20	i:	71.514
b1_02_anakonda_w20	a:	121.666
b1_03_kleinflugzeug_w20	u:	138.611
b1_03_kleinflugzeug_w20	i:	50.792
b1_03_kleinflugzeug_w20	a:	105.382
b1_04_drucker_w20	u:	91.018
b1_04_drucker_w20	i:	68.769
b1_04_drucker_w20	a:	132.228
b1_05_gecko_w20	u:	90.947
b1_05_gecko_w20	i:	50.251
b1_05_gecko_w20	a:	112.533
b1_06_kirchenglocke_w20	u:	153.605
b1_06_kirchenglocke_w20	i:	83.668
b1_06_kirchenglocke_w20	a:	142.739
b1_07_storch_w20	u:	92.675
b1_07_storch_w20	i:	76.853
b1_07_storch_w20	a:	110.758
b1_08_kuh_w20	u:	89.697
b1_08_kuh_w20	i:	76.581
b1_08_kuh_w20	a:	93.082
b1_09_violine_w20	u:	127.248
b1_09_violine_w20	i:	48.543
b1_09_violine_w20	a:	115.289
b1_10_aeffchen_w20	u:	82.393
b1_10_aeffchen_w20	i:	42.103
b1_10_aeffchen_w20	a:	83.742
b1_11_spatz_w20	u:	118.848
b1_11_spatz_w20	i:	59.172
b1_11_spatz_w20	a:	163.047
b1_12_wanduhr_w20	u:	183.413
b1_12_wanduhr_w20	i:	79.996
b1_12_wanduhr_w20	a:	149.516
b2_01_komodowaran_m27	u:	204.537
b2_01_komodowaran_m27	i:	122.004
b2_01_komodowaran_m27	a:	166.859
b2_02_buerodrucker_m27	u:	185.443
b2_02_buerodrucker_m27	i:	146.578
b2_02_buerodrucker_m27	a:	267.615
b2_03_kondor_m27	u:	177.582
b2_03_kondor_m27	i:	121.223
b2_03_kondor_m27	a:	169.039
b2_04_backofen_m27	u:	192.090
b2_04_backofen_m27	i:	111.651
b2_04_backofen_m27	a:	247.662
b2_05_igel_m27	u:	153.045
b2_05_igel_m27	i:	72.402
b2_05_igel_m27	a:	114.784
b2_06_grosserbagger_m27	u:	181.680
b2_06_grosserbagger_m27	i:	107.573
b2_06_grosserbagger_m27	a:	197.616
b2_07_kleinwagen_m27	u:	140.593
b2_07_kleinwagen_m27	i:	107.435
b2_07_kleinwagen_m27	a:	146.562
b2_08_elefant_m27	u:	162.610
b2_08_elefant_m27	i:	161.083
b2_08_elefant_m27	a:	181.696
b2_09_bodentrommel_m27	u:	84.599
b2_09_bodentrommel_m27	i:	69.567
b2_09_bodentrommel_m27	a:	140.182
b2_10_gloeckchen_m27	u:	132.474
b2_10_gloeckchen_m27	i:	76.400
b2_10_gloeckchen_m27	a:	109.519
b2_11_blaumeise_m27	u:	119.502
b2_11_blaumeise_m27	i:	120.667
b2_12_blindschleiche_m27	u:	207.815
b2_12_blindschleiche_m27	i:	103.473
b2_12_blindschleiche_m27	a:	149.557
b3_01_kaninchen_w20	u:	122.893
b3_01_kaninchen_w20	i:	96.803
b3_01_kaninchen_w20	a:	117.316
b3_02_harpyie_w20	u:	134.939
b3_02_harpyie_w20	i:	79.005
b3_02_harpyie_w20	a:	99.980
b3_03_kleinerbagger_w20	u:	225.794
b3_03_kleinerbagger_w20	i:	144.233
b3_03_kleinerbagger_w20	a:	175.999
b3_04_industrienbackofen_w20	u:	272.968
b3_04_industrienbackofen_w20	i:	119.829
b3_04_industrienbackofen_w20	a:	222.900
b3_05_jumbojet_w20	u:	221.950
b3_05_jumbojet_w20	i:	240.224
b3_05_jumbojet_w20	a:	211.723
b3_06_dompfaff_w20	u:	105.142
b3_06_dompfaff_w20	i:	98.212
b3_06_dompfaff_w20	a:	94.053
b3_07_schildkroete_w20	u:	423.688
b3_07_schildkroete_w20	i:	271.800
b3_07_schildkroete_w20	a:	281.393
b3_08_krokodil_w20	u:	140.748
b3_08_krokodil_w20	i:	141.182
b3_08_krokodil_w20	a:	149.436
b3_09_baer_w20	u:	46.911
b3_09_baer_w20	i:	132.852
b3_09_baer_w20	a:	141.483
b3_10_handtrommel_w20	u:	140.080
b3_10_handtrommel_w20	i:	116.509
b3_10_handtrommel_w20	a:	149.508
b3_11_armbanduhr_w20	u:	132.450
b3_11_armbanduhr_w20	i:	128.934
b3_11_armbanduhr_w20	a:	113.110
b3_12_kontrabass_w20	u:	234.256
b3_12_kontrabass_w20	i:	156.170
b3_12_kontrabass_w20	a:	223.907
c1_01_baer_w41	u:	103.888
c1_01_baer_w41	i:	184.543
c1_01_baer_w41	a:	272.167
c1_02_kondor_w41	u:	169.906
c1_02_kondor_w41	i:	194.344
c1_02_kondor_w41	a:	292.099
c1_03_gloeckchen_w41	u:	213.841
c1_03_gloeckchen_w41	i:	209.071
c1_03_gloeckchen_w41	a:	209.071
c1_04_komodowaran_w41	u:	180.297
c1_04_komodowaran_w41	i:	134.404
c1_04_komodowaran_w41	a:	440.909
c1_05_backofen_w41	u:	144.265
c1_05_backofen_w41	i:	216.849
c1_05_backofen_w41	a:	320.454
c1_06_kirchenglocke_w41	u:	217.943
c1_06_kirchenglocke_w41	i:	563.256
c1_06_kirchenglocke_w41	a:	619.157
c1_07_blaumeise_w41	u:	261.103
c1_07_blaumeise_w41	i:	299.457
c1_07_blaumeise_w41	a:	271.429
c1_08_schildkroete_w41	u:	479.944
c1_08_schildkroete_w41	i:	302.187
c1_08_schildkroete_w41	a:	499.694
c1_09_kleinflugzeug_w41	u:	419.732
c1_09_kleinflugzeug_w41	i:	441.196
c1_09_kleinflugzeug_w41	a:	441.196
c1_10_SUV_w41	u:	254.654
c1_10_SUV_w41	i:	210.366
c1_10_SUV_w41	a:	374.863
c1_11_igel_w41	u:	188.886
c1_11_igel_w41	i:	153.745
c1_11_igel_w41	a:	90.050
c1_12_buerodrucker_w41	u:	203.769
c1_12_buerodrucker_w41	i:	322.027
c1_12_buerodrucker_w41	a:	300.195
c2_01_krokodil_w20	u:	450.338
c2_01_krokodil_w20	i:	458.416
c2_01_krokodil_w20	a:	485.678
c2_02_dompfaff_w20	u:	240.451
c2_02_dompfaff_w20	i:	212.108
c2_02_dompfaff_w20	a:	226.437
c2_03_armbanduhr_w20	u:	484.545
c2_03_armbanduhr_w20	i:	81.638
c2_03_armbanduhr_w20	a:	314.353
c2_04_bodentrommel_w20	u:	261.276
c2_04_bodentrommel_w20	i:	137.447
c2_04_bodentrommel_w20	a:	335.699
c2_05_storch_w20	u:	245.125
c2_05_storch_w20	i:	196.100
c2_05_storch_w20	a:	280.143
c2_06_jumbojet_w20	u:	591.219
c2_06_jumbojet_w20	i:	536.713
c2_06_jumbojet_w20	a:	549.449
c2_07_handtrommel_w20	u:	361.267
c2_07_handtrommel_w20	i:	341.450
c2_07_handtrommel_w20	a:	388.705
c2_08_industriebackofen_w20	u:	332.272
c2_08_industriebackofen_w20	i:	437.590
c2_08_industriebackofen_w20	a:	419.790
c2_09_aeffchen_w20	u:	161.739
c2_09_aeffchen_w20	i:	51.495
c2_09_aeffchen_w20	a:	231.367
c2_10_gecko_w20	u:	135.387
c2_10_gecko_w20	i:	109.277
c2_10_gecko_w20	a:	158.596
c2_11_kleinerbagger_w20	u:	327.978
c2_11_kleinerbagger_w20	i:	1666.277
c2_11_kleinerbagger_w20	a:	1009.379
c2_12_kuh_w20	u:	282.346
c2_12_kuh_w20	i:	455.972
c2_12_kuh_w20	a:	459.217
c3_01_spatz_w31	u:	136.314
c3_01_spatz_w31	i:	98.859
c3_01_spatz_w31	a:	124.034
c3_02_violine_w31	u:	277.658
c3_02_violine_w31	i:	401.572
c3_02_violine_w31	a:	372.888
c3_03_harypie_w31	u:	150.221
c3_03_harypie_w31	i:	106.433
c3_03_harypie_w31	a:	119.537
c3_04_wanduhr_w31	u:	185.575
c3_04_wanduhr_w31	i:	150.467
c3_04_wanduhr_w31	a:	185.575
c3_05_kontrabass_w31	u:	263.685
c3_05_kontrabass_w31	i:	361.169
c3_05_kontrabass_w31	a:	247.704
c3_06_elefant_w31	u:	184.600
c3_06_elefant_w31	i:	134.445
c3_06_elefant_w31	a:	156.040
c3_07_drucker_w31	u:	176.853
c3_07_drucker_w31	i:	243.778
c3_07_drucker_w31	a:	329.784
c3_09_kleinwagen_w31	u:	127.443
c3_09_kleinwagen_w31	i:	79.456
c3_09_kleinwagen_w31	a:	96.970
c3_10_blindschleiche_w31	u:	302.768
c3_10_blindschleiche_w31	i:	635.863
c3_10_blindschleiche_w31	a:	289.120
c3_11_kaninchen_w31	u:	135.294
c3_11_kaninchen_w31	i:	108.043
c3_11_kaninchen_w31	a:	94.321
c3_12_anakonda_w31	u:	286.052
c3_12_anakonda_w31	i:	843.682
c3_12_anakonda_w31	a:	176.960
d1_01_kirchenglocke_w24	u:	240.817
d1_01_kirchenglocke_w24	i:	155.102
d1_01_kirchenglocke_w24	a:	214.966
d1_02_kleinerbagger_w24	u:	175.524
d1_02_kleinerbagger_w24	i:	137.252
d1_02_kleinerbagger_w24	a:	141.651
d1_03_suv_w24	u:	180.409
d1_03_suv_w24	i:	104.082
d1_03_suv_w24	a:	104.853
d1_04_gloeckchen_w24	u:	150.966
d1_04_gloeckchen_w24	i:	128.218
d1_04_gloeckchen_w24	a:	106.848
d1_05_buerodrucker_w24	u:	173.389
d1_05_buerodrucker_w24	i:	114.739
d1_05_buerodrucker_w24	a:	110.567
d1_06_elefant_w24	u:	161.524
d1_06_elefant_w24	i:	101.333
d1_06_elefant_w24	a:	152.381
d1_07_blaumeise_w24	u:	114.916
d1_07_blaumeise_w24	i:	63.492
d1_07_blaumeise_w24	a:	66.395
d1_08_storch_w24	u:	100.952
d1_08_storch_w24	i:	66.032
d1_08_storch_w24	a:	67.936
d1_09_igel_w24	u:	114.612
d1_09_igel_w24	i:	78.612
d1_09_igel_w24	a:	93.306
d1_10_backofen_w24	u:	125.805
d1_10_backofen_w24	i:	64.889
d1_10_backofen_w24	a:	111.238
d1_11_anakonda	u:	128.301
d1_11_anakonda	i:	75.471
d1_11_anakonda	a:	98.113
d1_12_blindschleiche_w24	u:	184.045
d1_12_blindschleiche_w24	i:	72.170
d1_12_blindschleiche_w24	a:	104.635
d2_01_kleinwagen_w32	u:	139.401
d2_01_kleinwagen_w32	i:	96.394
d2_01_kleinwagen_w32	a:	127.167
d2_02_industriebackofen_w32	u:	272.762
d2_02_industriebackofen_w32	i:	138.816
d2_02_industriebackofen_w32	a:	162.358
d2_03_dompfaff_w32	u:	108.885
d2_03_dompfaff_w32	i:	125.320
d2_03_dompfaff_w32	a:	102.036
d2_04_kuh_w32	u:	225.787
d2_04_kuh_w32	i:	137.638
d2_04_kuh_w32	a:	128.359
d2_05_armbanduhr_w32	u:	188.329
d2_05_armbanduhr_w32	i:	184.730
d2_05_armbanduhr_w32	a:	182.331
d2_06_kontrabass_w32	u:	179.615
d2_06_kontrabass_w32	i:	175.578
d2_06_kontrabass_w32	a:	231.077
d2_07_krokodil_w32	u:	134.986
d2_07_krokodil_w32	i:	131.245
d2_07_krokodil_w32	a:	149.041
